0;1;2;3
Przymiotniki narodowości.;Complétez les phrases avec la forme correcte de l'adjectif de nationalité.;Les adjectifs de nationalité;
Marie Curie était une scientifique;.;polonaise;La capitale de ce pays est Varsovie
Emmanuel Macron est un président;.;français;La capitale de ce pays est Paris
Angela Merkel est une femme politique;.;allemande;La capitale de ce pays est Berlin
Pablo Picasso était un peintre;.;espagnol;La capitale de ce pays est Madrid
Sophia Loren est une actrice;.;italienne;La capitale de ce pays est Rome
Vladimir Poutine est un homme politique;.;russe;La capitale de ce pays est Moscou
Elizabeth II était une reine;.;britannique;La capitale de ce pays est Londres
Barack Obama est un ancien président;.;américain;La capitale de ce pays est Washington
Coco Chanel était une créatrice de mode;.;française;Ce pays est connu pour la Tour Eiffel
Cristiano Ronaldo est un footballeur;.;portugais;La capitale de ce pays est Lisbonne
Frida Kahlo était une artiste;.;mexicaine;La capitale de ce pays est Mexico
Xi Jinping est un dirigeant;.;chinois;La capitale de ce pays est Pékin
Greta Thunberg est une militante;.;suédoise;La capitale de ce pays est Stockholm
Justin Trudeau est un Premier ministre;.;canadien;La capitale de ce pays est Ottawa
Shakira est une chanteuse;.;colombienne;La capitale de ce pays est Bogota
